month,device,acquisition_channel,sessions,add_to_cart,checkout,purchases
2025-08-01,desktop,organic_search,9235,1232,942,706
2025-08-01,desktop,paid_search,4120,542,328,269
2025-08-01,desktop,direct,5121,700,546,354
2025-08-01,desktop,referral,2461,309,207,169
2025-08-01,desktop,paid_social,1693,221,136,112
2025-08-01,desktop,email,1821,206,148,94
2025-08-01,mobile,organic_search,10755,1126,579,320
2025-08-01,mobile,paid_search,6564,565,251,154
2025-08-01,mobile,direct,8128,676,308,180
2025-08-01,mobile,referral,3074,254,150,105
2025-08-01,mobile,paid_social,2965,261,120,85
2025-08-01,mobile,email,1583,149,83,47
2025-08-01,tablet,organic_search,1673,180,116,79
2025-08-01,tablet,paid_search,856,83,46,30
2025-08-01,tablet,direct,1312,115,63,39
2025-08-01,tablet,referral,365,31,17,10
2025-08-01,tablet,paid_social,379,38,21,16
2025-08-01,tablet,email,342,37,18,12
2025-09-01,desktop,organic_search,9887,1379,858,551
2025-09-01,desktop,paid_search,5190,675,442,321
2025-09-01,desktop,direct,4191,539,396,258
2025-09-01,desktop,referral,2549,355,258,189
2025-09-01,desktop,paid_social,2067,245,168,141
2025-09-01,desktop,email,1742,196,152,98
2025-09-01,mobile,organic_search,11467,941,467,335
2025-09-01,mobile,paid_search,5815,574,255,179
2025-09-01,mobile,direct,4723,451,232,161
2025-09-01,mobile,referral,2813,240,136,83
2025-09-01,mobile,paid_social,2411,258,152,84
2025-09-01,mobile,email,2178,215,96,67
2025-09-01,tablet,organic_search,1894,197,123,93
2025-09-01,tablet,paid_search,631,70,45,34
2025-09-01,tablet,direct,1024,115,66,44
2025-09-01,tablet,referral,498,47,30,18
2025-09-01,tablet,paid_social,282,24,13,7
2025-09-01,tablet,email,292,26,13,9
2025-10-01,desktop,organic_search,9653,1372,838,664
2025-10-01,desktop,paid_search,4125,555,340,270
2025-10-01,desktop,direct,4798,539,417,268
2025-10-01,desktop,referral,2593,287,195,137
2025-10-01,desktop,paid_social,1829,243,151,97
2025-10-01,desktop,email,1460,196,121,85
2025-10-01,mobile,organic_search,14548,1407,752,455
2025-10-01,mobile,paid_search,5689,487,239,136
2025-10-01,mobile,direct,5444,537,285,173
2025-10-01,mobile,referral,2369,227,132,87
2025-10-01,mobile,paid_social,1969,200,114,68
2025-10-01,mobile,email,2276,196,104,70
2025-10-01,tablet,organic_search,1618,175,98,66
2025-10-01,tablet,paid_search,1217,131,90,52
2025-10-01,tablet,direct,1052,103,57,34
2025-10-01,tablet,referral,495,46,23,13
2025-10-01,tablet,paid_social,318,31,21,13
2025-10-01,tablet,email,298,29,18,11
2025-11-01,desktop,organic_search,8944,1091,817,515
2025-11-01,desktop,paid_search,4335,529,376,306
2025-11-01,desktop,direct,6339,838,489,357
2025-11-01,desktop,referral,3064,418,243,179
2025-11-01,desktop,paid_social,1273,169,109,84
2025-11-01,desktop,email,1589,235,152,107
2025-11-01,mobile,organic_search,9569,935,554,399
2025-11-01,mobile,paid_search,6817,621,354,216
2025-11-01,mobile,direct,7195,587,334,213
2025-11-01,mobile,referral,2336,228,108,64
2025-11-01,mobile,paid_social,1958,193,111,70
2025-11-01,mobile,email,2481,247,118,82
2025-11-01,tablet,organic_search,1984,194,100,62
2025-11-01,tablet,paid_search,1107,123,76,47
2025-11-01,tablet,direct,867,75,46,27
2025-11-01,tablet,referral,355,39,23,14
2025-11-01,tablet,paid_social,374,41,22,14
2025-11-01,tablet,email,319,31,17,10
2025-12-01,desktop,organic_search,10393,1164,844,651
2025-12-01,desktop,paid_search,4561,672,523,383
2025-12-01,desktop,direct,4295,609,443,307
2025-12-01,desktop,referral,2466,336,203,156
2025-12-01,desktop,paid_social,1980,278,209,132
2025-12-01,desktop,email,2029,235,172,110
2025-12-01,mobile,organic_search,13822,1441,695,462
2025-12-01,mobile,paid_search,6439,612,314,177
2025-12-01,mobile,direct,6903,673,375,265
2025-12-01,mobile,referral,2869,290,164,103
2025-12-01,mobile,paid_social,2616,219,111,77
2025-12-01,mobile,email,2738,235,139,85
2025-12-01,tablet,organic_search,1956,204,104,62
2025-12-01,tablet,paid_search,1013,97,49,30
2025-12-01,tablet,direct,979,105,71,42
2025-12-01,tablet,referral,337,30,16,11
2025-12-01,tablet,paid_social,365,31,18,10
2025-12-01,tablet,email,302,33,21,15
2026-01-01,desktop,organic_search,8334,1045,670,478
2026-01-01,desktop,paid_search,4278,572,381,322
2026-01-01,desktop,direct,4273,531,373,260
2026-01-01,desktop,referral,2284,308,185,146
2026-01-01,desktop,paid_social,1843,223,149,122
2026-01-01,desktop,email,1765,252,148,120
2026-01-01,mobile,organic_search,12160,1200,621,436
2026-01-01,mobile,paid_search,6184,638,291,201
2026-01-01,mobile,direct,7116,711,324,215
2026-01-01,mobile,referral,3624,322,155,105
2026-01-01,mobile,paid_social,2730,240,122,81
2026-01-01,mobile,email,2276,222,121,73
2026-01-01,tablet,organic_search,1577,155,88,65
2026-01-01,tablet,paid_search,1168,114,64,48
2026-01-01,tablet,direct,1031,90,47,30
2026-01-01,tablet,referral,452,45,28,18
2026-01-01,tablet,paid_social,366,39,22,16
2026-01-01,tablet,email,298,30,17,12
2026-02-01,desktop,organic_search,7852,979,611,448
2026-02-01,desktop,paid_search,4453,588,378,270
2026-02-01,desktop,direct,5241,636,488,380
2026-02-01,desktop,referral,2567,368,242,196
2026-02-01,desktop,paid_social,1434,167,124,92
2026-02-01,desktop,email,1658,247,182,137
2026-02-01,mobile,organic_search,9038,759,384,224
2026-02-01,mobile,paid_search,6736,714,390,227
2026-02-01,mobile,direct,5614,545,321,215
2026-02-01,mobile,referral,2691,243,143,89
2026-02-01,mobile,paid_social,2324,195,100,66
2026-02-01,mobile,email,2569,233,106,75
2026-02-01,tablet,organic_search,1788,178,106,74
2026-02-01,tablet,paid_search,845,76,43,31
2026-02-01,tablet,direct,742,80,54,35
2026-02-01,tablet,referral,448,48,30,19
2026-02-01,tablet,paid_social,442,42,23,15
2026-02-01,tablet,email,313,28,16,11
2026-03-01,desktop,organic_search,10795,1423,1038,731
2026-03-01,desktop,paid_search,4601,521,350,243
2026-03-01,desktop,direct,5010,673,394,258
2026-03-01,desktop,referral,2360,326,244,178
